Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
C61;10nF 50V ;C_0805_2012Metric;-22.198;83.972;180;bottom
C62;10nF 50V ;C_0805_2012Metric;-22.14419;113.772;180;bottom
C69;10nF 50V ;C_0805_2012Metric;-22.098;134.172;180;bottom
C70;10nF 50V ;C_0805_2012Metric;-22.098;93.772;180;bottom
C77;10nF 50V ;C_0805_2012Metric;-22.098;103.772;180;bottom
C78;10nF 50V ;C_0805_2012Metric;-22.098;124.172;180;bottom
C85;10uF 10V X7R;C_0805_2012Metric;-283.323031;13.276247;180;bottom
D3;TVS;DPY2_TEX;-16.764;150.048;-90;bottom
D4;TVS;DPY2_TEX;-17.272;96.454;90;bottom
D5;TVS;DPY2_TEX;-281.686;33.462;-90;bottom
D6;TVS;DPY2_TEX;-289.052;127.792;180;bottom
D7;TVS;DPY2_TEX;-17.018;85.374;-90;bottom
D8;TVS;DPY2_TEX;-17.272;167.162;-90;bottom
D9;TVS;DPY2_TEX;-239.618;122.712;0;bottom
D11;TVS;DPY2_TEX;-17.526;116.616;-90;bottom
D12;TVS;DPY2_TEX;-60.96;160.608;-90;bottom
D13;TVS;DPY2_TEX;-18.034;184.022;-90;bottom
D14;TVS;DPY2_TEX;-16.764;105.694;-90;bottom
D15;TVS;DPY2_TEX;-60.96;142.936;-90;bottom
D16;TVS;DPY2_TEX;-60.96;177.988;-90;bottom
D17;TVS;DPY2_TEX;-16.51;136.936;90;bottom
D18;TVS;DPY2_TEX;-60.96;156.894;-90;bottom
D19;TVS;DPY2_TEX;-16.256;124.744;-90;bottom
D20;TVS;DPY2_TEX;-60.96;139.126;-90;bottom
D21;TVS;DPY2_TEX;-35.196;144.556;0;bottom
D22;TVS;DPY2_TEX;-35.1;147.604;0;bottom
D23;TVS;DPY2_TEX;-35.196;150.398;0;bottom
D24;TVS;DPY2_TEX;-35.45;161.32;0;bottom
D25;TVS;DPY2_TEX;-35.45;164.78;0;bottom
D26;TVS;DPY2_TEX;-35.45;167.828;0;bottom
D27;TVS;DPY2_TEX;-35.196;179.1;0;bottom
D28;TVS;DPY2_TEX;-35.196;182.656;0;bottom
D29;TVS;DPY2_TEX;-35.196;185.45;0;bottom
D30;TVS;DPY2_TEX;-38.608;80.802;90;bottom
D32;TVS;DPY2_TEX;-38.862;93.502;-90;bottom
D33;TVS;DPY2_TEX;-37.084;99.09;-90;bottom
D35;TVS;DPY2_TEX;-39.116;110.932;-90;bottom
D36;TVS;DPY2_TEX;-37.323001;118.193997;-90;bottom
D38;TVS;DPY2_TEX;-37.592;130.078;90;bottom
D40;TVS;DPY2_TEX;-31.62;63.942;-90;bottom
D42;TVS;DPY2_TEX;-31.366;54.386;-90;bottom
D43;TVS;DPY2_TEX;-60.96;173.766;-90;bottom
D48;TVS;DPY2_TEX;-31.62;44.102;-90;bottom
D50;TVS;DPY2_TEX;-31.62;35.336;-90;bottom
D55;TVS;DPY2_TEX;-268.478;7.142;-90;bottom
D56;TVS;DPY2_TEX;-290.83;47.274;0;bottom
D67;TVS;DPY2_TEX;-71.474725;15.189173;0;bottom
D68;TVS;DPY2_TEX;-93.472;15.524;0;bottom
