Designator,Mid X,Mid Y,Rotation,Layer
C61,-22.198,83.972,180,bottom
C62,-22.14419,113.772,180,bottom
C69,-22.098,134.172,180,bottom
C70,-22.098,93.772,180,bottom
C77,-22.098,103.772,180,bottom
C78,-22.098,124.172,180,bottom
C85,-283.323031,13.276247,180,bottom
D3,-16.764,150.048,-90,bottom
D4,-17.272,96.454,90,bottom
D5,-281.686,33.462,-90,bottom
D6,-289.052,127.792,180,bottom
D7,-17.018,85.374,-90,bottom
D8,-17.272,167.162,-90,bottom
D9,-239.618,122.712,0,bottom
D11,-17.526,116.616,-90,bottom
D12,-60.96,160.608,-90,bottom
D13,-18.034,184.022,-90,bottom
D14,-16.764,105.694,-90,bottom
D15,-60.96,142.936,-90,bottom
D16,-60.96,177.988,-90,bottom
D17,-16.51,136.936,90,bottom
D18,-60.96,156.894,-90,bottom
D19,-16.256,124.744,-90,bottom
D20,-60.96,139.126,-90,bottom
D21,-35.196,144.556,0,bottom
D22,-35.1,147.604,0,bottom
D23,-35.196,150.398,0,bottom
D24,-35.45,161.32,0,bottom
D25,-35.45,164.78,0,bottom
D26,-35.45,167.828,0,bottom
D27,-35.196,179.1,0,bottom
D28,-35.196,182.656,0,bottom
D29,-35.196,185.45,0,bottom
D30,-38.608,80.802,90,bottom
D32,-38.862,93.502,-90,bottom
D33,-37.084,99.09,-90,bottom
D35,-39.116,110.932,-90,bottom
D36,-37.323001,118.193997,-90,bottom
D38,-37.592,130.078,90,bottom
D40,-31.62,63.942,-90,bottom
D42,-31.366,54.386,-90,bottom
D43,-60.96,173.766,-90,bottom
D48,-31.62,44.102,-90,bottom
D50,-31.62,35.336,-90,bottom
D55,-268.478,7.142,-90,bottom
D56,-290.83,47.274,0,bottom
D67,-71.474725,15.189173,0,bottom
D68,-93.472,15.524,0,bottom
D69,-113.875921,15.053214,0,bottom
D70,-135.19438,15.524,0,bottom
D72,-97.850766,15.49861,0,bottom
D74,-143.668,16.032,180,bottom
D79,-140.208,212.374,180,bottom
D80,-166.116,211.866,180,bottom
D81,-191.516,211.612,180,bottom
D91,-93.98,212.12,0,bottom
D92,-116.84,211.104,0,bottom
D93,-72.644,212.12,180,bottom
D94,-59.436,212.12,0,bottom
D95,-80.01,212.12,180,bottom
D96,-101.6,211.866,180,bottom
D112,-130.278,209.326,180,bottom
D113,-155.956,208.163,180,bottom
D114,-182.53,211.866,180,bottom
D120,-64.239947,63.417748,-90,bottom
D124,-64.008,45.75,0,bottom
D142,-178.912,34.574,0,bottom
D143,-163.078717,36.017163,-90,bottom
D159,-84.836,83.596,-90,bottom
D160,-84.328,104.328,-90,bottom
D161,-80.772,124.744,180,bottom
D174,-290.692447,20.639929,0,bottom
D179,-99.06,30.51,0,bottom
R3,-22.198,86.172,0,bottom
R8,-22.098,116.072,0,bottom
R9,-22.098,136.472,0,bottom
R10,-22.098,95.972,0,bottom
R279,-22.098,106.072,0,bottom
R280,-22.1105,126.472,0,bottom
R283,-285.496,26.7,0,bottom
R284,-291.084,17.556,0,bottom
R285,-287.02,14.762,180,bottom
C1,276.4635,42.194,180,top
C2,252.476,81.564,90,top
C3,289.56,111.79,0,top
C4,229.362,33.558,90,top
C5,259.842,105.694,0,top
C6,287.02,102.9,0,top
C7,255.992,112.806,180,top
C8,260.818,112.806,0,top
